제목,내용
"'페이커 셀러비 공식 계정 생긴다' T1, 셀러비코리아와 공식 파트너십",T1과 셀레비코리아가 파트너십을 맺었다. 6일 T1 측은 국내 최대 숏폼 플랫폼 ‘셀러비(CELEBe)’를 운영하는 셀러비코리아가 파트너십을 체결했다고 밝혔다. 셀러비는 공식 모델인 블랙핑크 지수를 비롯해 수많은 유명...
"T1, LCK 역사상 첫 팀 V10 달성",2022년 LCK 스프링 정규 리그에서 18전 전승이라는 대기록을 작성한 T1이 결승전에서 젠지를 꺾고 통산 10회... 결승전에서 T1이 젠지를 3대1로 제압하고 LCK 팀 역사상 첫 10회 우승의 고지를 점했다고 밝혔다. T1은 2022...
"[WCK] 한발 도망가는 T1, GP 잡고 4승 달성",5일 종각 롤파크에서 열린 '2022 와일드 리프트 챔피언스 코리아(이하 WCK)' 14일 차 2경기서 T1이 팀 GP를 2:0으로 제압했다. 리브 샌드박스와 플레이오프 경쟁 중인 T1은 4번째 승리를 달성하면서 한발 앞서가는데...
"LCK 스프링 결승전, 137만명 봤다… T1 효과 ‘톡톡’",2022 LCK 스프링 결승전에서 우승한 T1 선수단.   사진=임형택 기자 지난 2일 경기도 고양시 일산 킨텍스에서 열린 T1과 젠지 e스포츠의 ‘2022 LoL 챔피언스 코리아(이하 LCK)’ 스프링 결승전이 흥행에 성공했다....
"우리은행, LCK 스프링 결승전 우승 T1에 상금 2억원 전달",우리은행은 이달 2일 일산 킨텍스에서 열린 ‘우리은행과 함께하는 2022 LCK(리그오브레전드 챔피언스 코리아) 스프링 결승전’에서 우승한 T1에 상금과 부상을 전달했다고 4일 밝혔다. 우리은행은 결승전 우승팀 T1의...
[LCK] T1 최성훈 감독 코로나19 양성 판정,T1 선수단 중 다수가 코로나19 확진 판정을 받은 가운데 최성훈 감독도 양성 판정을 받았다. T1은 4일 공식 소셜 네트워크 채널 등을 통해 추가 실시한 신속 항원 검사 결과 최성훈 감독이 양성 판정을 받았다고...
MSI·롤드컵 향하는 T1-페이커 ‘아름다운 동행’,T1이 지난 2일 ‘리그 오브 레전드 챔피언스 코리아(LCK) 스프링’ 우승으로 담원 기아에 잠시 빼앗겼던... 함께 ‘T1 왕조의 재건’을 전세계에 선포했다. ■‘왕조 재건’ 이끈 신구의 조화 왕조 재건의 힘은 역시...
"페이커의 T1, 한국 e스포츠 최다 시청 기록 경신",CS T1)이 젠지를 세트스코어 3-1로 꺾고 정상에 오른 2022 LCK 봄 대회 결승전은 순간 최대 시청... 실제로는 더 많은 시청자가 페이커의 T1이 다시금 리그오브레전드 e스포츠 국내 최강팀으로 자리매김한 LCK...
"'T1 우승' LCK 스프링 결승전, 최고 시청자 수 1위 달성",T1의 10번째 우승으로 마무리된 2022 LCK 스프링 결승전이 최고 시청자 수서 1위를 기록했다. e스포츠 통계업체 'e스포츠 차트'에 따르면 지난 2일 일산 킨텍스에서 열린 2022 LCK 스프링 T1과 젠지 e스포츠의...
"'T1, LCK 스프링 우승' 페이커 ""좋은 결과 이뤄내 기쁘다""",T1이 ‘2022 리그오브레전드 챔피언스 코리아 스프링(2022 LCK 스프링)’에서 우승했다. 사진=LCKT1은 2일... 이로써 T1은 지난 2012년 LCK가 출범한 이래 10회 우승을 하는 대기록을 세웠다. ‘2022 LCK 스프링’ 결승전...
"[WCK 톡톡] T1 ‘BDG’ 김동영, “스프링 첫 연승, 컨디션 관리 덕택”", 리브 샌드박스가 직전 경기에서 1위 롤스터Y를 잡고 PO 경쟁에 불을 붙이자 T1도 질세라 팀 GP를 꺾고 한발자국 더 달아났다. T1의 원거리 딜러 ‘BDG’ 김동영은 스프링 시즌 첫 연승에 대해 “컨디션 관리에 집중했다”...
中게임계 “한국 코로나 심각…MSI 개최 가능해?”,4일 중국 ‘훠셴유시’는 “에스케이텔레콤 씨에스 티원(SK telecom CS T1) 같은 한국 최고 프로게임단도... ‘훠셴유시’는 “T1은 한국 e스포츠에서 가장 방역 대책을 잘 수립하고 이를 실천한 것으로 유명했다. 이런...
"LCK 스프링, 명가 T1의 화려한 부활로 흥행 재점화",지난 4월 2일 킨텍스에서 열린 LCK 스프링 결승전에서 T1이 왕좌를 차지했다. 젠지를 꺾고 우승컵을 들어 올린 T1은 통산 10회 우승을 달성하며 무적함대의 귀환을 알렸다. 뿐만 아니라 T1은 LCK 역사상 최초로 시즌...
