통화명,심볼,현재가,전일대비,등락율
영국 파운드/달러,GBPUSD,1.3067,-0.0021,-0.16%
유로/달러,EURUSD,1.0910,-0.0010,-0.09%
호주 달러/달러,AUDUSD,0.7474,-0.0061,-0.80%
달러/홍콩 달러,USDHKD,7.8375,+0.0009,+0.01%
달러/일본 엔,USDJPY,123.9100,+0.1800,+0.14%
달러/캐나다 달러,USDCAD,1.2585,+0.0082,+0.65%
달러/아랍에미리트 디르함,USDAED,3.6731,0.0000,0.00%
달러/네델란드 안틸레,USDANG,1.8020,+0.0001,0.00%
달러/아르헨티나 페소,USDARS,111.9883,+0.1494,+0.13%
달러/불가리아 레브,USDBGN,1.7931,+0.0037,+0.20%
달러/브라질 레알,USDBRL,4.7620,+0.0680,+1.44%
달러/스위스 프랑,USDCHF,0.9331,+0.0005,+0.05%
달러/칠레 페소,USDCLP,809.9500,+16.1200,+2.03%
달러/중국 위안,USDCNY,6.3593,+0.0011,+0.01%
달러/콜롬비아 페소,USDCOP,"3,764.2600",+29.6500,+0.79%
달러/체코 크로나,USDCZK,22.4690,+0.0540,+0.24%
달러/덴마크 크로네,USDDKK,6.8166,+0.0060,+0.08%
달러/이집트 파운드,USDEGP,18.3398,+0.0306,+0.16%
달러/피지 달러,USDFJD,2.0951,+0.0091,+0.43%
달러/크로아티아 쿠나,USDHRK,6.9259,+0.0136,+0.19%
달러/헝가리 포린트,USDHUF,347.2700,+0.1300,+0.03%
달러/인도네시아 루피아,USDIDR,"14,377.6500",-0.6000,0.00%
달러/이스라엘 세켈,USDILS,3.2239,-0.0143,-0.44%
달러/인도 루피,USDINR,75.9640,+0.0070,0.00%
달러/이란 리얄,USDIRR,"42,300.0000",-50.0000,-0.11%
달러/요르단 디나르,USDJOD,0.7090,0.0000,0.00%
달러/모로코 디르함,USDMAD,9.7260,+0.0195,+0.20%
달러/마카오 파타카,USDMOP,8.0717,+0.0004,0.00%
달러/멕시코 뉴페소,USDMXN,20.1800,+0.1600,+0.79%
달러/감비아 달라시,USDGMD,54.1000,+0.3000,+0.55%
달러/과테말라 케트잘,USDGTQ,7.6700,0.0000,0.00%
달러/조지아 라리,USDGEL,3.0800,-0.0050,-0.16%
달러/기니아 프랑,USDGNF,"8,855.0000",-25.0000,-0.28%
달러/나미비아 달러,USDNAD,14.6600,-0.0300,-0.20%
달러/남아프리카 랜드,USDZAR,14.7707,+0.1250,+0.85%
달러/네팔 루피,USDNPR,121.4910,+0.2770,+0.22%
달러/노르웨이 크로네,USDNOK,8.7893,+0.0308,+0.35%
달러/뉴질랜드 달러,USDNZD,1.4516,+0.0084,+0.58%
달러/니카라과 코르도바,USDNIO,35.7800,+0.0500,+0.13%
달러/대만 뉴달러,USDTWD,28.8400,+0.1000,+0.34%
달러/동카리브 달러,USDXCD,2.6900,0.0000,0.00%
달러/지부티 프랑,USDDJF,178.0000,+0.0100,0.00%
달러/라오스 킵,USDLAK,"11,850.0000",+27.5000,+0.23%
